id_aluno;horas_estudo_semana;frequencia_percentual;atividades_entregues;media_exercicios;participacao_aulas;acessos_plataforma_semana;faltas_mes;situacao_final
A149;66;817;9;60;5;10;4;Desempenho_satisfatorio
A150;111;824;9;58;5;16;3;Desempenho_satisfatorio
A151;88;923;8;64;6;13;2;Desempenho_satisfatorio
A152;60;919;10;74;8;8;0;Desempenho_satisfatorio
A153;53;883;9;43;4;10;3;Desempenho_satisfatorio
A154;106;589;7;43;4;12;7;Precisa_atencao
A155;126;744;8;71;6;17;3;Desempenho_satisfatorio
A156;55;893;10;69;6;7;2;Desempenho_satisfatorio
A157;112;832;9;71;6;10;3;Desempenho_satisfatorio
A158;75;874;8;56;8;8;2;Desempenho_satisfatorio
A159;70;763;7;47;5;2;4;Desempenho_satisfatorio
A160;7;646;3;18;8;;6;Precisa_atencao
A161;124;706;5;48;6;11;3;Precisa_atencao
A162;45;764;3;19;5;10;5;Precisa_atencao
A163;10;756;8;52;5;6;5;Precisa_atencao
A164;105;747;5;59;3;12;5;Precisa_atencao
A165;132;760;7;55;0;13;4;Precisa_atencao
A166;93;830;8;46;9;11;4;Precisa_atencao
A167;86;607;3;9;7;4;6;Precisa_atencao
A168;55;710;10;78;5;4;5;Desempenho_satisfatorio
A169;112;809;10;88;7;15;2;Desempenho_satisfatorio
A170;79;799;5;49;5;5;4;Precisa_atencao
A171;16;937;8;42;7;7;0;Precisa_atencao
A172;26;967;7;58;5;6;2;Precisa_atencao
A173;37;870;8;73;7;9;3;Desempenho_satisfatorio
A174;65;672;5;59;5;7;5;Precisa_atencao
A175;31;777;8;63;5;4;3;Desempenho_satisfatorio
A176;95;945;10;53;7;10;0;Desempenho_satisfatorio
A177;45;772;10;63;6;10;4;Desempenho_satisfatorio
A178;115;1000;9;68;5;13;0;Desempenho_satisfatorio
A179;10;780;6;2;5;1;4;Precisa_atencao
A180;89;733;8;70;5;14;5;Desempenho_satisfatorio
